央视频道,#genre#
CCTV-1综合,http://120.224.178.16:9901/tsfile/live/0013_1.m3u8$1鲁移1080
CCTV-1综合,https://node1.olelive.com:6443/live/cctv1hd/hls.m3u8$2OO1080
CCTV-1综合,http://115.171.86.251:9901/tsfile/live/16000_1.m3u8?key=txiptv&playlive=1&authid=0$3OO1080
CCTV-1综合,http://123.187.46.90:65000/hls/96/index.m3u8$4辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/85/index.m3u8$5辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/101/index.m3u8$6辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/77/index.m3u8$7辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/94/index.m3u8$8辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/1/index.m3u8$9辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/27/index.m3u8$10辽电576
CCTV-1综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8$11川电360
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8$1豫电1080
CCTV-2财经,http://14.29.76.30:9901/tsfile/live/1008_1.m3u8$2粤电576
CCTV-2财经,http://123.187.46.90:65000/hls/4/index.m3u8$3辽电576
CCTV-3综艺,http://123.187.46.90:65000/hls/10/index.m3u8$1辽电576
CCTV-4中文国际,http://115.171.86.251:9901/tsfile/live/16003_1.m3u8?key=txiptv&playlive=1&authid=0$1OO1080
CCTV-4中文国际,http://123.187.46.90:65000/hls/15/index.m3u8$2辽电576
CCTV-4中文国际,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8$3豫电576
CCTV-5体育,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8$1吉联1080
CCTV-5体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8$2豫电1080
CCTV-5体育,http://123.187.46.90:65000/hls/11/index.m3u8$3辽电576
CCTV-6电影,https://node1.olelive.com:6443/live/cctv6hd/hls.m3u8$1OO1080
CCTV-6电影,http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8$2湘联1080
CCTV-6电影,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8$3豫电1080
