央视频道,#genre#
CCTV-1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226016/index.m3u8$1黑移1080
CCTV-1综合,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226016/index.m3u8$2黑移1080
CCTV-1综合,http://120.224.178.16:9901/tsfile/live/0013_1.m3u8$3鲁移1080
CCTV-1综合,https://node1.olelive.com:6443/live/cctv1hd/hls.m3u8$4OO1080
CCTV-1综合,http://123.187.46.90:65000/hls/27/index.m3u8$5辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/94/index.m3u8$6辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/101/index.m3u8$7辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/77/index.m3u8$8辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/1/index.m3u8$9辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/96/index.m3u8$10辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/85/index.m3u8$11辽电576
CCTV-1综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8$12川电360
CCTV-2财经,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226540/index.m3u8$1黑移1080
CCTV-2财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225588/index.m3u8$2黑移720
CCTV-2财经,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225588/index.m3u8$3黑移720
CCTV-2财经,https://node1.olelive.com:6443/live/cctv2hd/hls.m3u8$4OO1080
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8$5豫电1080
CCTV-2财经,http://14.29.76.30:9901/tsfile/live/1008_1.m3u8$6粤电576
CCTV-2财经,http://123.187.46.90:65000/hls/4/index.m3u8$7辽电576
CCTV-3综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226021/index.m3u8$1黑移1080
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226021/index.m3u8$2黑移1080
CCTV-3综艺,http://123.187.46.90:65000/hls/10/index.m3u8$3辽电576
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226428/index.m3u8$1黑移1080
CCTV-4中文国际,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226007/index.m3u8$2黑移720
CCTV-4中文国际,http://123.187.46.90:65000/hls/15/index.m3u8$3辽电576
CCTV-4中文国际,http://1.195.111.251:11190/tsfile/live/0004_1.m3u8$4豫电576
CCTV-5体育,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226019/index.m3u8$1黑移1080
CCTV-5体育,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226019/index.m3u8$2黑移1080
CCTV-5体育,https://node1.olelive.com:6443/live/cctv5phd/hls.m3u8$3OO1080
CCTV-5体育,https://node1.olelive.com:6443/live/cctv5hd/hls.m3u8$4OO1080
CCTV-5体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8$5豫电1080
CCTV-5体育,http://61.138.128.226:19901/tsfile/live/0005_1.m3u8$6吉联1080
CCTV-5体育,http://123.187.46.90:65000/hls/11/index.m3u8$7辽电576
CCTV-6电影,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226010/index.m3u8$1黑移1080
CCTV-6电影,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226010/index.m3u8$2黑移1080
CCTV-6电影,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8$3豫电1080
CCTV-6电影,http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8$4湘联1080
CCTV-6电影,http://123.187.46.90:65000/hls/12/index.m3u8$5辽电576
CCTV-7国防军事,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225733/index.m3u8$1黑移1080
CCTV-7国防军事,http://[2409:8087:1a01:df::4077]/pltv/88888888/224/3221225671/index.m3u8$2黑移1080
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225733/index.m3u8$3黑移1080
CCTV-7国防军事,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8$4豫电1080
CCTV-7国防军事,http://123.187.46.90:65000/hls/20/index.m3u8$5辽电576
CCTV-8电视剧,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226008/index.m3u8$1黑移1080
