央视频道,#genre#
CCTV-6电影,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226010/index.m3u8$2黑移1080
CCTV-6电影,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226010/index.m3u8$3黑移1080
CCTV-6电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan638728804b1f9/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuddh4epddnvglsbkyaxfdazjhfqmuq4xuiks9zriljn%2bknls8h%2bsxcdxy%2btesec8q0kcn89mjyoj85sol1kbki4$4鄂移1080
CCTV-6电影,http://1.195.111.251:11190/tsfile/live/0006_1.m3u8$5豫电1080
CCTV-6电影,http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8$6湘联1080
CCTV-6电影,http://123.187.46.90:65000/hls/12/index.m3u8$7辽电576
CCTV-7国防军事,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225733/index.m3u8$1黑移1080
CCTV-7国防军事,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225733/index.m3u8$2黑移1080
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225733/index.m3u8$3黑移1080
CCTV-7国防军事,http://[2409:8087:1a01:df::4077]/pltv/88888888/224/3221225671/index.m3u8$4黑移1080
CCTV-7国防军事,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan5000038bestvsmgsmg/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuspr1avni633ampcuzdn%2bfhykfve4mwnzra0jpxehjqnbjpmzsdkdnwnhhnzsamgcxkmdx8d%2bnydhvk5ge22ot4$5鄂移1080
CCTV-7国防军事,http://[2409:8087:5e01:34::22]:6610/zte_cms/00000001000000060000000000000380/index.m3u8?key=tvbox6_com$6琼移1080
CCTV-7国防军事,http://1.195.111.251:11190/tsfile/live/0007_1.m3u8$7豫电1080
CCTV-7国防军事,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8$8陕电576
CCTV-7国防军事,http://123.187.46.90:65000/hls/20/index.m3u8$9辽电576
CCTV-8电视剧,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221226008/index.m3u8$1黑移1080
CCTV-8电视剧,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226008/index.m3u8$2黑移1080
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226008/index.m3u8$3黑移1080
CCTV-8电视剧,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan638728970aa82/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuddh4epddnvglsbkyaxfdaymid9ta2tvuw0%2fdvrfqszc1evekabpip1iyxn%2ba2aa%2bvaihiiw9d8ejusdbfu0k68$4鄂移1080
CCTV-8电视剧,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8$5浙联1080
CCTV-8电视剧,http://1.195.111.251:11190/tsfile/live/0008_1.m3u8$6豫电1080
CCTV-8电视剧,http://221.210.64.165:2233/hls/15/index.m3u8$7黑联576
CCTV-8电视剧,http://123.187.46.90:65000/hls/13/index.m3u8$8辽电576
CCTV-9纪录,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225734/index.m3u8$1黑移1080
CCTV-9纪录,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225734/index.m3u8$2黑移1080
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225734/index.m3u8$3黑移1080
CCTV-9纪录,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan5000039bestvsmgsmg/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuspr1avni633ampcuzdn%2bfharfvjf2pwpm4rxcbnhz7j9veuecqte%2bbqaogniueek%2b3rbe1bc9eusm18gnb%2fyaa$4鄂移1080
CCTV-9纪录,http://[2409:8087:5e01:34::20]:6610/zte_cms/00000001000000060000000000000373/index.m3u8?key=tvbox6_com$5琼移1080
CCTV-9纪录,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8$6豫电1080
CCTV-9纪录,http://123.187.46.90:65000/hls/14/index.m3u8$7辽电576
CCTV-9纪录,http://221.210.64.165:2233/hls/16/index.m3u8$8黑联576
CCTV-10科教,http://[2409:8087:1a01:df::4077]/pltv/88888888/224/3221225677/index.m3u8$1黑移1080
CCTV-10科教,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225730/index.m3u8$2黑移1080
CCTV-10科教,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225730/index.m3u8$3黑移1080
CCTV-10科教,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225730/index.m3u8$4黑移1080
CCTV-10科教,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan3949784bestvsmgsmg/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahuxt3tpfwzzdhckot9ajsv5ouxozn3alq9%2bux7zlg1w9aofkljzvyj56d3xkoatsoiolsdw8c1%2bcwldg1as4esn4$5鄂移1080
CCTV-10科教,http://[2409:8087:5e01:34::38]:6610/zte_cms/00000001000000060000000000000375/index.m3u8?$6琼移1080
CCTV-10科教,http://[2409:8087:5e01:34::20]:6610/zte_cms/00000001000000060000000000000375/index.m3u8?key=tvbox6_com$7琼移1080
CCTV-10科教,http://1.195.111.251:11190/tsfile/live/0010_1.m3u8$8豫电1080
CCTV-10科教,http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8$9贵电720
CCTV-10科教,http://221.210.64.165:2233/hls/17/index.m3u8$10黑联576
CCTV-10科教,http://[2409:8087:5e01:34::38]:6610/zte_cms/00000001000000060000000000000301/index.m3u8?$11琼移576
CCTV-10科教,http://123.187.46.90:65000/hls/6/index.m3u8$12辽电576
CCTV-11戏曲,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221226565/index.m3u8$1黑移1080
CCTV-11戏曲,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/8/3221225597/index.m3u8$2黑移720
CCTV-11戏曲,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225597/index.m3u8$3黑移720
CCTV-11戏曲,http://[2409:8087:1a01:df::4077]/pltv/88888888/224/3221225517/index.m3u8$4黑移720
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/pltv/88888888/224/3221225597/index.m3u8$5黑移720
CCTV-11戏曲,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/umaichan6000053bestvsmgsmg/index.m3u8?authinfo=9koodbn7mff%2f2bwjkgahutwdyigrkfjbahmha2ayg0qj2xha4vdpgsjbbxsl3p%2fmaobvtfznr%2fpc%2b76qymlrmul3lj9iabhv8arw7kje6%2f4$6鄂移1080
CCTV-11戏曲,http://[2409:8087:5e01:34::38]:6610/zte_cms/00000001000000060000000000000497/index.m3u8?$7琼移1080
