央视频道,#genre#
CCTV-1综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$1黑移1080
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$2黑移1080
CCTV-1综合,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$3黑移1080
CCTV-1综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$4黑移1080
CCTV-1综合,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513603.m3u8$5OO1080
CCTV-1综合,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y$6鄂移1080
CCTV-1综合,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293303.m3u8$7OO1080
CCTV-1综合,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?key=tvbox6_com$8琼移1080
CCTV-1综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8$9OO1080
CCTV-1综合,http://120.7.86.49:808/hls/1/index.m3u8$10OO576
CCTV-1综合,http://123.187.46.90:65000/hls/96/index.m3u8$11辽电576
CCTV-1综合,http://120.7.86.101:808/hls/1/index.m3u8$12OO576
CCTV-1综合,http://123.187.46.90:65000/hls/101/index.m3u8$13辽电576
CCTV-1综合,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv2/1300000/mnf.m3u8$14沪移576
CCTV-1综合,http://123.187.46.90:65000/hls/77/index.m3u8$15辽电576
CCTV-1综合,http://221.205.20.224:8888/hls/1/index.m3u8$16OO576
CCTV-1综合,http://123.187.46.90:65000/hls/94/index.m3u8$17辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/27/index.m3u8$18辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/85/index.m3u8$19辽电576
CCTV-1综合,http://123.187.46.90:65000/hls/1/index.m3u8$20辽电576
CCTV-1综合,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8$21川移360
CCTV-2财经,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$1黑移1080
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$2黑移1080
CCTV-2财经,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$3黑移1080
CCTV-2财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$4黑移720
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8$5黑移720
CCTV-2财经,http://[2409:8087:1a0b:df::4005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8$6黑移576
CCTV-2财经,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI$7鄂移1080
CCTV-2财经,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?key=tvbox6_com$8琼移1080
CCTV-2财经,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv2hd8m/8000000/mnf.m3u8$9沪移1080
CCTV-2财经,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/cctv17hd8m/8000000/mnf.m3u8$10沪移1080
CCTV-2财经,http://154.yfvodcdn.com:8080/live/jsydcctv15/hls.m3u8$11OO1080
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8$12豫电1080
CCTV-2财经,http://14.29.76.30:9901/tsfile/live/1008_1.m3u8$13粤电576
CCTV-2财经,http://123.187.46.90:65000/hls/4/index.m3u8$14辽电576
