央视频道,#genre#
CCTV-1综合,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8$1黑移1080
CCTV-1综合,https://edge1.laotv.la/live/CCTV1/index.m3u8$2O移720
CCTV-2财经,http://120.211.119.222:8899/hls/2/index.m3u8$1冀移1080
CCTV-2财经,http://111.75.151.236:50085/newlive/live/hls/2/live.m3u8$2赣电1080
CCTV-4中文国际,http://221.210.64.165:2233/hls/11/index.m3u8$1黑联576
CCTV-5体育,http://154.yfvodcdn.com:8080/live/jsydcctv5/hls.m3u8$1OO1080
CCTV-6电影,http://111.75.151.236:50085/newlive/live/hls/6/live.m3u8$1赣电1080
CCTV-7国防军事,http://66.165.240.154:8080/live/jsydcctv7/hls.m3u8$1OO1080
CCTV-7国防军事,http://111.75.151.236:50085/newlive/live/hls/7/live.m3u8$2赣电1080
CCTV-10科教,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8$1黑移1080
CCTV-10科教,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573003.m3u8$2豫移1080
CCTV-11戏曲,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8$1黑移1080
CCTV-13新闻,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8$1黑移1080
CCTV-13新闻,http://154.yfvodcdn.com:8080/live/jsydcctv13/hls.m3u8$2OO1080
CCTV-14少儿,http://111.75.151.236:50085/newlive/live/hls/14/live.m3u8$1赣电1080
CCTV-15音乐,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225601/index.m3u8$1黑移720
CCTV-16奥林匹克,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225893/index.m3u8$1黑移1080
CCTV-17农业农村,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8$1黑移1080
卫视频道,#genre#
安徽卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226391/index.m3u8$1黑移1080
安徽卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/ahwshd8m/8000000/mnf.m3u8$2沪移1080
重庆卫视,http://tvbox.netsite.cc/proxy/1866473212/1866473212.m3u8$1O移720
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/1.m3u8$1琼移1080
广东卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8$1黑移1080
广东卫视,http://219.137.29.213:4433/tsfile/live/0125_1.m3u8$2粤电1080
广东卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gdwshd8m/8000000/mnf.m3u8$3沪移1080
甘肃卫视,http://tvbox.netsite.cc/proxy/1209404373/1209404373.m3u8$1O移540
广西卫视,http://tv6.blcu.edu.cn/liverespath/5262d7f97311b82a4a460f3b8221e4a7d394c2c0/f905e355f9-0-0-2a2961ca795ae04861d8f83f1ae773a4/index.m3u8$1OO1080
广西卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/gxwshd8m/8000000/mnf.m3u8$2沪移1080
广西卫视,http://tvbox.netsite.cc/proxy/1407270894/1407270894.m3u8$3O移720
湖北卫视,http://66.165.240.154:8080/live/jsydws09/hls.m3u8$1OO1080
海南卫视,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel62/index.m3u8$1苏移720
河南卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/hnwshd8m/8000000/mnf.m3u8$1沪移1080
湖南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296203.m3u8$1豫移1080
吉林卫视,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8$1黑移1080
吉林卫视,http://111.75.151.236:50085/newlive/live/hls/35/live.m3u8$2赣电1080
吉林卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010075/1.m3u8$3琼移576
江苏卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295602.m3u8$1豫移720
江苏卫视,http://120.7.86.32:808/hls/19/index.m3u8$2冀移576
辽宁卫视,http://154.yfvodcdn.com:8080/live/jsydws02/hls.m3u8$1OO1080
CGTN纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8$2川移576
青海卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8$1琼移1080
青海卫视,http://tvbox.netsite.cc/proxy/1152127449/1152127449.m3u8$2O移720
青海卫视,http://111.75.151.236:50085/newlive/live/hls/46/live.m3u8$3赣电576
山东卫视,http://183.195.235.162/hljbuv52.live.bestvcdn.com.cn/001/live/program/live/sdws8m/8000000/mnf.m3u8$1沪移1080
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8$2OO540
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8$1黑移576
山西卫视,http://tvbox.netsite.cc/proxy/825435414/825435414.m3u8$2O移720
山西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010114/1.m3u8$3琼移576
